index,index_city,Population
401,Lynn,92457
402,Miami Beach,92312
403,Arden-Arcade,92186
405,Longmont,92088
406,Santa Barbara,91842
407,Redding,91582
408,Macon,91351
409,Meridian,90739
410,San Leandro,90712
411,Greenville,90597
412,Chico,90316
413,Edmond,90092
415,Nampa,89839
416,Sandy Hills,89575
417,Newton,88817
418,Toms River,88791
419,Carmel,88713
420,Asheville,88512
422,Waukegan,88475
423,Deltona,88474
424,Hawthorne,88451
425,Fort Smith,88194
426,Suffolk,88161
427,Sugar Land,88156
428,Livermore,88126
429,Nashua,87970
430,Reading,87879
432,Indio,87533
433,Enchanted Hills,87521
434,Rio Rancho,87521
435,Sandy,87461
436,Whittier,87438
437,Canarsie,87366
438,Kirkland,87281
439,Menifee,87174
440,Newport Beach,87127
441,Tracy,87075
442,Citrus Heights,87056
443,Bend,87014
444,Canton,86825
445,Lehigh Acres,86784
446,Greenburgh,86764
447,Bloomington,86435
448,West Town,86429
449,Germantown,86395
450,Clifton,86334
451,Duluth,86110
452,Champaign,86096
453,Near North Side,85711
454,Chino,85595
456,Ogden,85444
457,Redwood City,85288
458,Bellingham,85146
459,O'Fallon,85040
460,Hoover,84848
461,Danbury,84657
462,East Norwalk,84530
463,Edinburg,84497
464,Sunrise,84439
465,Trenton,84225
466,Santa Fe,84099
468,Cicero,83886
469,Hemet,83861
470,Ahwatukee Foothills,83464
471,Johns Creek,83335
472,Mission,83298
473,Troy,83280
474,Buena Park,83270
475,Palm Coast,82893
477,Sioux City,82821
478,Lake Forest,82492
479,Merced,82436
480,Longview,82287
481,Bryan,82118
482,Westland,82000
483,Warwick,81699
485,Farmington Hills,81330
486,San Tan Valley,81321
487,Mount Pleasant,81317
488,Cranston,81073
489,Largo,81000
490,South Suffolk,80690
491,Avondale,80684
492,Tustin,80583
493,Mountain View,80435
494,Napa,80434
495,Somerville,80318
497,Melbourne,80127
498,Parma,79937
499,New Rochelle,79846
500,Lynchburg,79812
501,Medford,79805
502,Deerfield Beach,79768
503,Pleasanton,79510
504,Belmont Cragin,79159
505,Brooklyn Park,79149
506,Goodyear,79003
507,Kennewick,78896
508,Alameda,78630
509,Town 'n' Country,78442
510,Bellflower,78441
511,San Pedro,78405
512,Chino Hills,78309
514,Alafaya,78113
515,Springdale,77859
516,North Hollywood,77848
517,Racine,77742
518,Hammond,77614
519,Milpitas,77604
520,Gary,77156
521,Scranton,77118
522,Baldwin Park,77071
523,Auburn,77006
524,Fishers,76794
525,Saint Joseph,76780
526,Pharr,76538
527,Upland,76443
528,Folsom,76375
529,Baytown,76335
530,San Ramon,76134
531,Camden,76119
532,Lake Charles,76070
533,Kalamazoo,76041
534,Arlington Heights,75926
535,Plymouth,75907
536,South Ozone Park,75878
537,Waterford,75737
538,Evanston,75527
539,Manteca,75448
540,Kendall,75371
541,Wyoming,75275
542,Loveland,75182
543,Cheektowaga,75178
544,Kings Bridge,75132
545,Perris,74971
546,Bethlehem,74892
548,Schaumburg,74693
549,Gastonia,74543
551,Union City,74494
552,Bolingbrook,74306
553,Iowa City,74220
554,Layton,74143
555,Missouri City,74139
556,Appleton,74139
557,Shelby,74099
558,Fort Myers,74013
559,Boynton Beach,73966
560,Jonesboro,73907
561,South Lawndale,73826
562,Logan Square,73702
563,Rapid City,73569
564,Warner Robins,73490
565,Rochester Hills,73424
566,Decatur,73254
567,Southfield,73156
568,Saint George,72897
569,New Britain,72808
570,Franklin,72639
571,Turlock,72292
572,Temple,72277
573,West Ridge,72211
574,Apple Valley,72174
575,Lynwood,71989
576,Waukesha,71970
579,Gulfport,71856
580,Pawtucket,71591
581,Lauderhill,71579
582,Rock Hill,71548
583,Silver Spring,71452
584,West Gulfport,71329
585,Flower Mound,71253
586,Bismarck,71167
587,Centreville,71135
589,Passaic,71085
590,Riverview,71050
591,Redlands,71035
592,Missoula,71022
593,Rancho Cordova,71017
594,New Braunfels,70543
595,Cherry Hill,70475
596,Flagstaff,70320
597,Muncie,70087
598,Woodland Hills,70000
599,Mira Mesa,70000
600,Weston,69959
601,Frederick,69479
602,Pasco,69451
603,Pittsburg,69424
604,Ridgewood,69317
605,Palatine,69308
606,North Richland Hills,69204
608,Kissimmee,69152
609,Walnut Creek,68910
610,Mount Vernon,68628
611,Conroe,68602
612,Dothan,68567
613,Northridge,68469
614,Waterloo,68460
615,Maple Grove,68385
616,Framingham,68318
617,Redondo Beach,68166
618,Bossier City,68094
619,Yorba Linda,67973
620,Woodbury,67855
621,Eau Claire,67778
622,Waldorf,67752
623,Forest Hills,67714
624,Davis,67666
625,Glen Burnie,67639
626,Camarillo,67608
627,Victoria,67574
628,Gaithersburg,67456
630,South San Francisco,67271
631,Kenner,67091
632,Jackson Heights,67067
633,Rockville,66980
635,Lincoln Park,66959
636,Yuba City,66941
638,Palo Alto,66853
639,Casas Adobes,66795
640,Marysville,66773
641,South Jordan,66648
642,Oshkosh,66555
643,North Little Rock,66504
644,Homestead,66498
645,Bayside,66455
646,Bayonne,66311
647,Eagan,66286
648,Delray Beach,66255
649,Johnson City,66027
650,Dale City,65969
651,Cedar Park,65945
652,Parkchester,65876
653,Atascocita,65844
654,Saint Cloud,65842
655,Ellicott City,65834
656,Laguna Niguel,65806
657,Saint Charles,65794
658,Harlingen,65774
659,San Clemente,65526
660,West Lynchburg,65517
661,Middletown,65490
662,Framingham Center,65413
663,Schenectady,65305
664,Broomfield,65065
665,Ames,65060
666,Park Slope,65047
667,Shawnee,65046
668,Conway,64980
669,East Orange,64949
670,Portage Park,64841
671,Skokie,64821
672,Daytona Beach,64736
673,West Bloomfield Township,64690
674,Tamarac,64681
675,Youngstown,64628
676,Lodi,64596
678,Mansfield,64274
679,Santa Cruz,64220
680,Pico Rivera,64218
681,Madera,64208
682,Janesville,64123
683,West Des Moines,64113
684,Montebello,63921
685,Georgetown,63716
686,Alpharetta,63693
687,Lorain,63647
688,Bowling Green,63616
689,Flatlands,63601
690,Dundalk,63597
691,Eden Prairie,63496
692,North Bergen,63484
693,Florence-Graham,63387
694,Waltham,63378
695,Cheyenne,63335
696,West Hartford,63268
697,Rogers,63159
698,Carol City,63031
699,Encinitas,62930
700,East Village,62832
701,Haverhill,62765
702,Jupiter,62707
703,Council Bluffs,62597
704,Wellington,62560
705,West Coon Rapids,62528
706,North Miami,62435
707,Hamilton,62407
708,North Port,62345
709,Tulare,62315
710,Coon Rapids,62240
711,Millcreek,62139
712,La Habra,62131
713,Blaine,62124
715,Lake Elsinore,61981
716,Carmichael,61762
717,Taylor,61568
718,Burnsville,61481
719,Monterey Park,61468
720,Castro Valley,61388
721,Irvington,61323
722,Rocklin,61213
723,Utica,61100
724,Malden,61068
725,National City,61060
726,Financial District,60976
728,Bethesda,60858
729,Terre Haute,60825
730,Vineland,60818
731,West Hollywood,60806
733,Brentwood,60664
734,Lakeville,60633
735,West Allis,60620
736,Redmond,60598
737,Canoga Park,60578
738,Cupertino,60572
739,Taylorsville,60514
740,Bristol,60452
741,Moore,60451
742,Gardena,60447
743,Petaluma,60438
744,Bensalem,60427
745,Grand Junction,60358
746,Casper,60285
747,Rowlett,60236
748,La Mesa,60089
749,Pine Hills,60076
750,Bensonhurst,60000
751,Valley Glen,60000
752,Rancho Penasquitos,60000
753,Coney Island,60000
754,Meriden,59988
755,Pontiac,59917
756,Port Orange,59866
757,Hamden,59847
759,Fountainebleau,59764
760,Saint Clair Shores,59715
762,Great Falls,59638
763,Chapel Hill,59568
764,Canyon Country,59530
765,Huntington Park,59430
767,Coconut Creek,59302
768,Idaho Falls,59184
769,San Rafael,59162
770,Noblesville,59093
771,Marietta,59067
773,Owensboro,59042
774,Eastvale,59039
775,Royal Oak,59008
777,Dubuque,58799
778,Brookline,58732
779,Novi,58723
780,Des Plaines,58677
781,Orland Park,58619
782,Bartlett,58579
783,Woodland,58567
784,Lehi,58486
785,White Plains,58459
786,Arcadia,58408
787,Reston,58404
788,Ocala,58218
789,Clay,58206
790,Central City,58161
791,South Vineland,58122
792,Sanford,58111
793,Bowie,58025
794,Kokomo,57995
795,Wayne,57915
796,Santee,57787
797,Dublin,57721
798,Palm Harbor,57439
800,Midwest City,57249
801,Center City,57239
802,Margate,57234
803,South Whittier,57156
804,Tinley Park,57143
805,Pflugerville,57122
806,New Brunswick,57035
807,Grand Forks,57011
808,Fountain Valley,56987
809,North Hills,56946
810,Diamond Bar,56897
811,Taunton,56789
812,Oak Lawn,56781
813,Union,56771
814,Ankeny,56764
815,Chicopee,56741
816,Irving Park,56520
817,Berwyn,56368
819,Kendale Lakes,56148
820,Smyrna,56146
821,Dearborn Heights,56145
822,Porterville,56058
823,Piscataway,56044
824,Doral,56035
825,Hendersonville,56018
826,Morningside Heights,55929
827,Rocky Mount,55806
828,Corvallis,55780
829,Valdosta,55724
830,Hanford,55659
831,Castle Rock,55591
832,Greenwood,55586
833,Chicago Lawn,55551
834,Hempstead,55547
835,Novato,55530
836,Kettering,55525
838,Shoreline,55439
840,Paramount,55412
841,Port Arthur,55340
842,Abington,55310
843,Anderson,55305
844,Tamiami,55271
845,Towson,55197
846,North Chicopee,55179
847,Uptown,55137
848,Sarasota,55118
849,Cypress Hills,54944
850,West Haven,54927
851,Rosemead,54908
852,Edgewater,54873
854,Highland,54854
855,Mount Prospect,54747
856,Colton,54621
857,Encanto,54614
858,Carson City,54521
859,Pocatello,54441
860,Bradenton,54437
861,Rogers Park,54402
862,Weymouth,54395
863,Port Charlotte,54392
864,Normal,54373
865,Spring,54298
866,Allapattah,54289
867,Richland,54248
868,Euless,54219
869,Blue Springs,54148
870,East Pensacola Heights,54104
871,Hacienda Heights,54038
872,Ozone Park,53985
873,Briarwood,53877
874,Cathedral City,53826
876,Elyria,53775
877,Wheaton,53715
878,Commerce City,53696
879,Hoboken,53635
880,Watsonville,53628
881,Lake Havasu City,53553
882,Revere,53422
883,West New York,53366
884,Yucaipa,53328
885,Gilroy,53231
886,Poinciana,53193
887,Pensacola,53193
888,Kingsport,53014
889,Levittown,52983
890,Palm Beach Gardens,52923
891,Milford,52759
892,Delano,52733
893,West Sacramento,52721
894,Huntersville,52704
895,Perth Amboy,52682
896,Sherman Oaks,52677
897,Southaven,52589
898,Saint Peters,52575
899,Harrisonburg,52538
900,Peabody,52504
901,Placentia,52495
902,Lenexa,52490
903,DeSoto,52486
904,Burlington,52472
905,South Hill,52431
906,Elkhart,52348
907,La Crosse,52306
908,Oak Park,52287
909,Florissant,52268
910,Sammamish,52253
911,Wakefield,52201
913,Hoffman Estates,52138
914,Albany Park,52079
915,Methuen,52044
916,Glendora,52009
917,Queens Village,51919
918,Brookhaven,51910
920,Palm Desert,51869
921,Joplin,51818
922,Enid,51776
923,Bonita Springs,51704
924,Irondequoit,51692
925,Caldwell,51686
926,Minnetonka,51669
927,Pinellas Park,51617
928,Battle Creek,51589
929,Casa Grande,51460
930,South Shore,51451
931,Mott Haven,51450
932,The Villages,51442
933,Grand Island,51440
934,Grapevine,51404
935,Stratford,51384
936,Kentwood,51357
937,City of Milford (balance),51271
938,Tigard,51253
939,East Hartford,51252
941,Plainfield,51217
942,Leesburg,51209
943,Parsippany,51144
944,Coral Gables,51117
945,The Hammocks,51003
946,Buckeye,50876
947,Flagami,50834
948,Catalina Foothills,50796
950,North La Crosse,50470
951,Burien,50467
952,Logan,50371
953,Olympia,50302
954,South Peabody,50293
955,Aliso Viejo,50195
956,Galveston,50180
957,Poway,50157
958,Edina,50138
959,Minnetonka Mills,50117
960,Stonecrest,50000
961,Cerritos,49975
962,Redford,49936
964,Sunnyside,49833
966,Downers Grove,49732
967,Whitman,49732
968,Wharton,49732
969,Azusa,49690
970,Wilson,49643
971,Monroe,49598
972,Parker,49550
973,La Mirada,49520
974,Minot,49450
975,Aloha,49425
976,Saginaw,49347
977,Bedford,49337
978,Rancho Santa Margarita,49324
979,Cypress,49290
980,Murray,49250
981,Cuyahoga Falls,49146
982,Coeur d'Alene,49122
983,Bloomfield,49120
984,Harrisburg,49081
985,Rowland Heights,48993
986,Covina,48984
987,Stillwater,48967
988,Niagara Falls,48916
989,Collierville,48863
990,Summerville,48848
991,South Bel Air,48828
992,Sheboygan,48797
994,Aspen Hill,48759
995,Dunwoody,48733
996,Huntington,48638
997,Maricopa,48602
999,Cedar Hill,48507
1000,East Brunswick,48495
1001,East Lansing,48471
1002,Apopka,48382
1003,Maspeth,48325
1005,Mishawaka,48261
1006,Portage,48177
1007,West Orange,48131
1008,McLean,48115
1010,Ceres,47963
1012,Chesterfield,47864
1013,Barnstable,47821
1014,Salina,47813
1016,Bel Air South,47709
1017,Euclid,47676
1019,Texas City,47618
1020,Wauwatosa,47614
1021,Florin,47513
1022,Twin Falls,47468
1023,Glenview,47446
1024,East Providence,47408
1025,Palm Springs,47371
1026,San Luis Obispo,47339
1027,Mission District,47234
1028,Country Club,47105
1029,Gwynn Oak,47092
1031,Jeffersonville,46960
1032,San Jacinto,46951
1033,Mentor,46901
1035,Hattiesburg,46805
1036,Draper,46774
1038,Wylie,46708
1040,Laguna,46621
1042,Charlottesville,46597
1044,Lacey,46409
1045,Littleton,46368
1046,Beavercreek,46277
1047,Kannapolis,46144
1049,Binghamton,46032
1052,Hell's Kitchen,45884
1053,Auburn Gresham,45842
1054,City of Sammamish,45780
1055,Antelope,45770
1056,Keller,45758
1057,Biloxi,45637
1058,Apex,45585
1059,West Lafayette,45550
1060,Titusville,45393
1061,Altoona,45344
1063,Saint Louis Park,45250
1064,Enfield,45212
1066,Tuckahoe,44990
1067,Potomac,44965
1068,Cleveland Heights,44962
1069,Sayreville,44920
1070,Cutler Bay,44865
1071,Hackensack,44834
1072,Pine Bluff,44772
1073,West Seneca,44711
1074,Strongsville,44668
1075,Coachella,44635
1076,Penn Hills,44610
1077,Encino,44581
1078,Bentonville,44499
1079,Fort Pierce,44484
1080,Bridgewater,44464
1081,Danville,44400
1082,Oakland Park,44319
1083,Attleboro,44284
1084,Severn,44231
1085,Blacksburg,44215
1086,Haltom City,44206
1087,Brighton Park,44202
1088,Lompoc,44164
1089,Wesley Chapel,44092
1090,Urbandale,44062
1091,York,43992
1092,North Miami Beach,43971
1093,El Centro,43956
1094,Rego Park,43925
1096,Echo Park,43832
1097,North Bethesda,43828
1099,Lombard,43797
1100,Bountiful,43784
1101,North Lauderdale,43703
1102,Burleson,43625
1103,Ocoee,43608
1104,Oro Valley,43565
1105,Ashburn,43511
1106,Augusta,43459
1107,Bozeman,43405
1108,Sierra Vista,43355
1109,Freeport,43334
1110,Pittsfield,43303
1111,West Babylon,43213
1112,DeKalb,43211
1113,San Bruno,43185
1114,Jefferson City,43169
1115,Altamonte Springs,43159
1116,Bell Gardens,43106
1117,Schertz,43091
1118,Morgan Hill,42948
1119,Bothell,42939
1120,Fond du Lac,42933
1121,Sicklerville,42891
1122,Sayreville Junction,42890
1123,Farmington,42871
1126,La Jolla,42808
1127,Altadena,42777
1130,Rancho Palos Verdes,42732
1131,North Highlands,42694
1132,Moline,42681
1134,East Concord,42605
1135,Henrietta,42581
1136,Rockwall,42566
1139,Rohnert Park,42407
1140,Urbana,42311
1141,Southglenn,42268
1143,Prescott Valley,42197
1144,State College,42161
1145,Kearny,42137
1146,El Dorado Hills,42108
1148,Belleville,42034
1149,Linden,42021
1150,Moorhead,42005
1151,Woodside,41981
1152,Brea,41944
1153,Riverton,41900
1154,Prescott,41899
1155,Mount Laurel,41864
1156,The Colony,41779
1157,Manassas,41764
1159,Westfield,41690
1160,Hutchinson,41569
1161,Leominster,41569
1162,Catonsville,41567
1163,Hicksville,41547
1165,Buffalo Grove,41496
1166,Woonsocket,41475
1167,West Hills,41426
1168,Edmonds,41375
1169,Marana,41315
1170,Shelton,41296
1171,Chatsworth,41255
1172,Cedar Falls,41255
1173,Gage Park,41202
1174,Beverly,41186
1175,University,41163
1176,Coppell,41159
1177,Findlay,41149
1178,Campbell,41117
1179,Lake Ridge,41058
1180,Burke,41055
1181,Mankato,41044
1182,Annandale,41008
1183,Covington,40997
1184,New City,40997
1185,Morris Heights,40982
1186,Peachtree Corners,40978
1187,South Valley,40976
1188,Ormond Beach,40970
1189,Carrollwood Village,40949
1191,Venice,40885
1192,Sumter,40816
1194,Wilkes-Barre,40780
1195,Lincoln Square,40761
1196,La Puente,40745
1197,Holyoke,40684
1198,Sherman,40667
1199,Goose Creek,40633
1200,Maplewood,40567
1201,Streamwood,40554
1202,Fitchburg,40545
1203,Hilton Head Island,40512
1204,La Quinta,40476
1205,North Atlanta,40456
1206,Crystal Lake,40448
1207,Hagerstown,40432
1208,San Gabriel,40424
1209,Hickory,40374
1210,Beverly Cove,40365
1211,Winter Garden,40356
1212,Carol Stream,40356
1214,Marlboro,40191
1215,Teaneck,40078
1216,Calexico,40053
1217,Florence,40026
1218,St. Johns,40000
1219,Shakopee,39981
1220,Billerica,39904
1221,Norwich,39899
1223,Duncanville,39826
1224,New Berlin,39825
1225,Marlborough,39818
1226,Oakley,39813
1229,Romeoville,39719
1230,Culver City,39717
1231,Montclair,39701
1233,Puyallup,39659
1234,Woburn,39555
1235,Bremerton,39520
1236,Hallandale Beach,39488
1238,Annapolis,39474
1239,Weslaco,39474
1240,Cape Girardeau,39462
1241,Bullhead City,39445
1242,North Fort Myers,39407
1243,Chelsea,39398
1244,Grove City,39388
1245,Essex,39262
1246,Pacifica,39260
1247,Atlantic City,39260
1249,Northglenn,39197
1250,Far Rockaway,39189
1251,Kensington,39120
1252,Coram,39113
1253,Wausau,39094
1254,Hurst,39016
1255,Stanton,38872
1257,Friendswood,38800
1259,The Acreage,38704
1261,Rock Island,38620
1262,Whitney,38585
1263,Oviedo,38551
1264,Carpentersville,38512
1265,Lake Oswego,38496
1266,Muskogee,38456
1267,Hobbs,38416
1268,Muskegon,38401
1269,Westerville,38384
1270,Little Elm,38341
1271,Hanover Park,38333
1272,Hillsborough,38303
1273,Channelview,38289
1274,Panama City,38286
1276,Wake Forest,38199
1277,Huber Heights,38176
1278,Martinez,38137
1279,East Meadow,38132
1280,Hanover,38088
1281,Wheeling,38079
1282,Apache Junction,38074
1283,Pleasant Grove,38052
1284,Brookfield,38025
1285,Delaware,37995
1286,Roy,37964
1287,Valley Stream,37962
1288,Spanish Fork,37935
1289,Keizer,37895
1290,Leander,37889
1291,Woodlawn,37879
1292,Lima,37873
1293,Spartanburg,37867
1294,Park Ridge,37757
1295,Winter Haven,37689
1296,Aventura,37649
1297,Severna Park,37634
1298,Royal Palm Beach,37633
1299,Brighton,37585
1300,Phenix City,37570
1301,Milton,37547
1302,Dover,37522
1303,Sun City,37499
1304,Lake Worth,37498
1305,Kew Gardens Hills,37479
1306,Jamaica Plain,37468
1307,Monrovia,37463
1308,Hollister,37462
1309,Los Banos,37457
1310,Sewell,37433
1311,Plant City,37406
1312,Greenfield,37349
1313,Marion,37330
1314,Braintree,37297
1315,Newnan,37291
1316,Texarkana,37280
1317,Addison,37208
1318,Reynoldsburg,37158
1319,South Jordan Heights,37141
1320,Odenton,37132
1321,Mableton,37115
1322,Hilton Head,37099
1323,Grants Pass,37088
1324,Indian Trail,37073
1325,Calumet City,37031
1327,Lynnwood,36997
1328,Whitestone,36984
1329,Beloit,36891
1335,New Albany,36732
1336,Clifton Park,36705
1337,Fort Lee,36672
1339,Bartlesville,36595
1340,Ewing,36559
1341,San Juan,36556
1342,Woodhaven,36555
1343,Mission Bend,36501
1344,San Juan Capistrano,36454
1345,Pahrump,36441
1347,Temple City,36365
1349,Mechanicsville,36348
